Meldedatum, difference, group, region, region_id, trend, value
2020-03-05, , Inc_200+, Bayern, 9, , 
2020-03-06, , Inc_200+, Bayern, 9, , 
2020-03-07, , Inc_200+, Bayern, 9, , 
2020-03-08, , Inc_200+, Bayern, 9, , 
2020-03-09, , Inc_200+, Bayern, 9, , 
2020-03-10, , Inc_200+, Bayern, 9, , 
2020-03-11, , Inc_200+, Bayern, 9, , 
2020-03-12, , Inc_200+, Bayern, 9, , 
2020-03-13, , Inc_200+, Bayern, 9, , 
2020-03-14, , Inc_200+, Bayern, 9, , 
2020-03-15, , Inc_200+, Bayern, 9, , 
2020-03-16, , Inc_200+, Bayern, 9, , 
2020-03-17, , Inc_200+, Bayern, 9, , 
2020-03-18, , Inc_200+, Bayern, 9, , 
2020-03-19, , Inc_200+, Bayern, 9, , 
2020-03-20, , Inc_200+, Bayern, 9, , 
2020-03-21, , Inc_200+, Bayern, 9, , 
2020-03-22, , Inc_200+, Bayern, 9, , 
2020-03-23, , Inc_200+, Bayern, 9, , 
2020-03-24, 1, Inc_200+, Bayern, 9, 0.0345, 1
2020-03-25, 1, Inc_200+, Bayern, 9, 0.0345, 1
2020-03-26, 1, Inc_200+, Bayern, 9, 0.0345, 1
2020-03-27, 1, Inc_200+, Bayern, 9, 0.0345, 1
2020-03-28, 1, Inc_200+, Bayern, 9, 0.0345, 1
2020-03-29, 1, Inc_200+, Bayern, 9, 0.0345, 1
2020-03-30, 1, Inc_200+, Bayern, 9, 0.0345, 1
2020-03-31, 1, Inc_200+, Bayern, 9, 0.0345, 2
2020-04-01, 2, Inc_200+, Bayern, 9, 0.069, 3
2020-04-02, 2, Inc_200+, Bayern, 9, 0.069, 3
2020-04-03, 2, Inc_200+, Bayern, 9, 0.069, 3
2020-04-04, 2, Inc_200+, Bayern, 9, 0.069, 3
2020-04-05, 3, Inc_200+, Bayern, 9, 0.1034, 4
2020-04-06, 2, Inc_200+, Bayern, 9, 0.069, 3
2020-04-07, 3, Inc_200+, Bayern, 9, 0.1034, 5
2020-04-08, , Inc_200+, Bayern, 9, , 3
2020-04-09, 1, Inc_200+, Bayern, 9, 0.0345, 4
2020-04-10, , Inc_200+, Bayern, 9, , 3
2020-04-11, -2, Inc_200+, Bayern, 9, -0.0833, 1
2020-04-12, -3, Inc_200+, Bayern, 9, -0.125, 1
2020-04-13, -2, Inc_200+, Bayern, 9, -0.0833, 1
2020-04-14, -4, Inc_200+, Bayern, 9, -0.1667, 1
2020-04-15, -3, Inc_200+, Bayern, 9, -0.125, 
2020-04-16, -4, Inc_200+, Bayern, 9, -0.1667, 
2020-04-17, -3, Inc_200+, Bayern, 9, -0.125, 
2020-04-18, -1, Inc_200+, Bayern, 9, -0.0417, 
2020-04-19, -1, Inc_200+, Bayern, 9, -0.0417, 
2020-04-20, -1, Inc_200+, Bayern, 9, -0.0417, 
2020-04-21, -1, Inc_200+, Bayern, 9, -0.0417, 
2020-04-22, , Inc_200+, Bayern, 9, , 
2020-04-23, , Inc_200+, Bayern, 9, , 
2020-04-24, , Inc_200+, Bayern, 9, , 
2020-04-25, , Inc_200+, Bayern, 9, , 
2020-04-26, , Inc_200+, Bayern, 9, , 
2020-04-27, , Inc_200+, Bayern, 9, , 
2020-04-28, , Inc_200+, Bayern, 9, , 
2020-04-29, , Inc_200+, Bayern, 9, , 
2020-04-30, , Inc_200+, Bayern, 9, , 
2020-05-01, , Inc_200+, Bayern, 9, , 
2020-05-02, , Inc_200+, Bayern, 9, , 
2020-05-03, , Inc_200+, Bayern, 9, , 
2020-05-04, , Inc_200+, Bayern, 9, , 
2020-05-05, , Inc_200+, Bayern, 9, , 
2020-05-06, , Inc_200+, Bayern, 9, , 
2020-05-07, , Inc_200+, Bayern, 9, , 
2020-05-08, , Inc_200+, Bayern, 9, , 
2020-05-09, , Inc_200+, Bayern, 9, , 
2020-05-10, , Inc_200+, Bayern, 9, , 
2020-05-11, , Inc_200+, Bayern, 9, , 
2020-05-12, , Inc_200+, Bayern, 9, , 
2020-05-13, , Inc_200+, Bayern, 9, , 
2020-05-14, , Inc_200+, Bayern, 9, , 
2020-05-15, , Inc_200+, Bayern, 9, , 
2020-05-16, , Inc_200+, Bayern, 9, , 
2020-05-17, , Inc_200+, Bayern, 9, , 
2020-05-18, , Inc_200+, Bayern, 9, , 
2020-05-19, , Inc_200+, Bayern, 9, , 
2020-05-20, , Inc_200+, Bayern, 9, , 
2020-05-21, , Inc_200+, Bayern, 9, , 
2020-05-22, , Inc_200+, Bayern, 9, , 
2020-05-23, , Inc_200+, Bayern, 9, , 
2020-05-24, , Inc_200+, Bayern, 9, , 
2020-05-25, , Inc_200+, Bayern, 9, , 
2020-05-26, , Inc_200+, Bayern, 9, , 
